,Unnamed: 0,datetime,open,high,low,close,volume,mfi,f,signals,trade_type
0,0,2019-09-08 12:00:00,10000.0,10000.0,10000.0,10000.0,0.002,50.0,0,0,
1,1,2019-09-08 18:00:00,10344.77,10412.65,10324.77,10391.63,3096.289,99.99993774942709,1,1,long
2,2,2019-09-09 00:00:00,10316.62,10316.68,10251.51,10304.32,2131.251,59.429998256730265,0,-1,close
3,3,2019-09-09 06:00:00,10304.32,10475.54,10077.22,10414.6,3779.472,76.43554967953588,0,0,
4,4,2019-09-09 12:00:00,10411.7,10411.7,10183.31,10263.33,5426.249,47.78164740867312,0,0,
5,5,2019-09-09 18:00:00,10261.38,10420.65,10228.28,10307.0,3487.401,57.94580087943389,0,0,
6,6,2019-09-10 00:00:00,10307.0,10382.97,10251.86,10262.85,2373.121,51.179599210960525,0,0,
7,7,2019-09-10 06:00:00,10263.35,10304.82,10206.87,10254.56,2289.418,46.01778271027017,0,0,
8,8,2019-09-10 12:00:00,10252.7,10270.58,10167.91,10213.69,2169.401,42.01710680060137,0,0,
9,9,2019-09-10 18:00:00,10213.58,10218.72,9940.87,10102.02,2237.015,38.60075053292731,0,0,
10,10,2019-09-11 00:00:00,10094.27,10293.11,9974.69,10028.63,2111.093,42.980959311676166,0,0,
11,11,2019-09-11 06:00:00,10024.78,10138.01,9884.31,10070.53,1715.056,40.641353377337566,0,0,
12,12,2019-09-11 12:00:00,10062.34,10110.21,9934.11,10054.43,3114.724,45.98242158675068,0,0,
13,13,2019-09-11 18:00:00,10053.77,10184.66,10043.71,10159.55,3957.049,51.571607559402196,0,0,
14,14,2019-09-12 00:00:00,10163.06,10205.46,10070.01,10079.86,3933.991,46.76608739097021,0,0,
15,15,2019-09-12 06:00:00,10080.29,10187.9,10042.12,10170.93,3804.444,51.172677686822205,0,0,
16,16,2019-09-12 12:00:00,10170.0,10365.15,10170.0,10295.8,3874.405,55.01827630000204,0,0,
17,17,2019-09-12 18:00:00,10295.8,10450.13,10272.03,10415.13,3996.794,58.429331195364256,0,0,
18,18,2019-09-13 00:00:00,10414.96,10440.55,10272.77,10291.89,4297.448,54.041660445016205,0,0,
19,19,2019-09-13 06:00:00,10290.67,10327.14,10251.99,10306.52,5119.811,49.61962741963285,0,0,
20,20,2019-09-13 12:00:00,10306.52,10344.0,10190.0,10226.61,5127.859,45.875150382233485,0,0,
21,21,2019-09-13 18:00:00,10224.6,10355.85,10153.51,10341.34,4707.603,47.11115558144718,0,0,
22,22,2019-09-14 00:00:00,10343.01,10353.72,10259.75,10287.31,4685.657,51.961130810875915,0,0,
23,23,2019-09-14 06:00:00,10287.3,10348.0,10275.04,10291.93,4922.813,52.71049811446911,0,0,
24,24,2019-09-14 12:00:00,10292.13,10398.0,10222.77,10380.36,6001.433,60.46831301830428,0,0,
25,25,2019-09-14 18:00:00,10380.76,10419.97,10317.39,10332.25,5046.721,61.30035077096743,0,0,
26,26,2019-09-15 00:00:00,10333.47,10359.2,10024.81,10311.07,5152.135,59.13880458639144,0,0,
27,27,2019-09-15 06:00:00,10310.68,10324.16,10268.55,10296.63,4656.637,63.19022875050101,0,0,
28,28,2019-09-15 12:00:00,10296.54,10332.61,10252.28,10309.03,5611.705,67.28324734911686,0,0,
29,29,2019-09-15 18:00:00,10309.11,10316.45,10265.32,10302.22,5115.778,65.01286863053645,0,0,
30,30,2019-09-16 00:00:00,10302.0,10353.81,10296.25,10312.37,5027.506,66.17210716548888,0,0,
31,31,2019-09-16 06:00:00,10312.17,10316.71,10275.74,10282.74,4707.567,64.00446507682867,0,0,
